ID_UF;ID;cas2008;cas2009;cas2010;cas2011;cas2012;cas2013;cas2014;cas2015;cas2016;cas2017;cas2018;pop2008;pop2009;pop2010;pop2011;pop2012;pop2013;pop2014;pop2015;pop2016;pop2017;pop2018;tx2008;tx2009;tx2010;tx2011;tx2012;tx2013;tx2014;tx2015;tx2016;tx2017;tx2018;Ano1;Ano2;Ano3 ;Ano4;Ano5;Ano6;Ano7;Ano8;Ano9;Ano10;Ano11;tx2008na
35;35035;3;3;1;0;2;3;0;1;1;2;2;161627;162523;158322;159159;159684;165486;166171;166840;167490;168130;168448;0,0186;0,0185;0,006316;NA;0,012525;0,018128;NA;0,005994;0,005971;0,011896;0,011873;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,18561
32;32007;14;20;16;4;12;8;9;9;6;9;11;130745;131253;132059;132640;133189;141838;142777;143700;144600;145477;141675;0,1071;0,1524;0,121158;0,030157;0,090098;0,056402;0,063035;0,06263;0,041494;0,061865;0,077642;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,1779
21;21002;268;342;330;420;516;728;880;825;641;508;317;1249141;1266366;1306029;1327649;1345368;1366266;1381459;1395792;1409162;1421569;1421946;0,2145;0,2701;0,252674;0,316349;0,383538;0,532839;0,637008;0,591062;0,45488;0,357352;0,222934;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,214547
28;28004;46;42;38;59;69;66;70;112;153;108;90;159141;160544;160387;161533;162733;168667;170038;171382;172695;173978;172934;0,2891;0,2616;0,236927;0,36525;0,424007;0,391304;0,411673;0,653511;0,885955;0,620768;0,52043;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,28952
28;28006;11;14;32;36;19;14;35;32;46;38;44;111263;112062;114246;115147;116016;120267;121262;122233;123183;124113;123376;0,0989;0,1249;0,280097;0,312644;0,163771;0,116408;0,288631;0,261795;0,373428;0,306173;0,356633;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,98865
24;24015;13;24;13;14;23;36;41;47;62;108;119;229045;231241;229881;231654;233443;243586;245725;247816;249855;251840;249746;0,0568;0,1038;0,056551;0,060435;0,098525;0,147792;0,166853;0,189657;0,248144;0,428844;0,476484;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,56757
31;31041;15;13;16;23;17;29;40;31;29;33;21;150741;150865;149456;149500;149587;154177;154384;154582;154773;154952;152216;0,0995;0,0862;0,107055;0,153846;0,113646;0,188096;0,259094;0,200541;0,187371;0,212969;0,137962;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,9958
27;27002;28;17;36;19;30;26;23;28;38;22;21;81030;82086;79633;80373;81088;84669;85317;86245;86817;87354;85957;0,3456;0,2071;0,452074;0,236398;0,369968;0,307078;0,269583;0,324657;0,437702;0,251849;0,244308;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,345551
29;29017;84;123;112;119;120;130;151;157;198;188;224;305578;307872;308379;310500;312520;332440;334674;336783;338298;338835;327767;0,2749;0,3995;0,363189;0,383253;0,383975;0,391048;0,451185;0,466176;0,585283;0,554842;0,683412;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,274889
32;32011;9;17;11;20;14;14;19;11;11;15;17;154221;154231;158317;158732;159140;169038;169852;170649;171426;172184;166760;0,0584;0,1102;0,069481;0,125999;0,087973;0,082822;0,111862;0,06446;0,064168;0,087116;0,101943;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,58358
31;31049;6;12;6;6;10;13;13;6;11;12;12;226963;228634;225289;226640;227873;236101;237500;238847;240125;241339;239892;0,0264;0,0525;0,026632;0,026474;0,043884;0,055061;0,054737;0,025121;0,045809;0,049723;0,050023;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,26436
15;15003;2;1;2;2;3;6;5;3;4;4;4;59164;59283;67616;68344;69092;70403;71135;71843;72528;73186;74600;0,0338;0,0169;0,029579;0,029264;0,04342;0,085224;0,070289;0,041758;0,055151;0,054655;0,053619;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,3384
31;31014;4;4;6;0;6;15;14;19;30;28;21;181954;182749;179711;180205;180728;186741;187400;188033;188638;189212;186931;0,0220;0,0219;0,033387;NA;0,033199;0,080325;0,074707;0,101046;0,159035;0,147982;0,112341;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,21984
51;51002;20;16;9;11;22;14;18;26;35;32;17;105214;106685;99164;99848;100528;101672;102328;102968;103591;104198;107187;0,1901;0,1500;0,090759;0,110167;0,218845;0,137698;0,175905;0,252506;0,337867;0,307108;0,158601;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,1989
15;15015;67;66;78;70;82;86;115;149;119;206;139;259288;288539;282175;277530;283554;287193;290730;294165;297477;300663;306088;0,2584;0,2287;0,276424;0,252225;0,289187;0,29945;0,395556;0,506518;0,400031;0,685152;0,454118;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,2584
51;51022;5;1;2;7;5;4;2;2;8;14;5;30090;30666;34091;34823;35554;36797;37615;38412;39187;39942;41128;0,1662;0,0326;0,058667;0,201017;0,140631;0,108705;0,05317;0,052067;0,204149;0,350508;0,121572;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,166168
26;26009;74;68;78;51;64;91;54;108;118;170;107;256897;261233;273742;278434;282980;295501;300460;305270;309912;314397;315022;0,2881;0,2603;0,28494;0,183167;0,226164;0,307952;0,179724;0,353785;0,380753;0,540718;0,339659;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,28853
51;51012;7;12;14;20;15;14;14;7;9;10;19;64758;65247;67792;68418;69039;70085;70719;71338;72021;72605;74703;0,1081;0,1839;0,206514;0,292321;0,217269;0,199757;0,197967;0,098124;0,124964;0,137732;0,254341;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,1895
21;21011;42;35;24;49;39;55;52;50;57;52;50;296376;299129;311548;312785;316734;320723;323562;328081;330611;332957;334288;0,1417;0,1170;0,077035;0,156657;0,123132;0,171488;0,160711;0,152401;0,172408;0,156176;0,149572;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,141712
22;22015;12;3;7;13;10;9;11;13;18;18;7;265032;267733;261949;263505;264998;266945;267714;268311;268906;269366;273219;0,0453;0,0112;0,026723;0,049335;0,037736;0,033715;0,041089;0,048451;0,066938;0,066824;0,02562;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,45278
22;22010;4;3;4;1;1;5;6;2;4;3;1;85997;86817;88078;88911;89712;90379;90798;91168;91491;91775;93003;0,0465;0,0346;0,045414;0,011247;0,011147;0,055323;0,066081;0,021938;0,04372;0,032689;0,010752;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,46513
51;51018;28;26;18;18;9;22;32;34;32;30;28;131700;132313;132179;132763;133324;134262;134727;135181;136000;136433;140405;0,2126;0,1965;0,136179;0,13558;0,067505;0,163859;0,237517;0,251515;0,235294;0,219888;0,199423;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,21264
51;51015;10;5;3;4;7;2;5;5;6;7;9;30107;29793;32643;32753;32743;32717;32657;32596;32538;32480;33393;0,3321;0,1678;0,091903;0,122126;0,213786;0,06113;0,153107;0,153393;0,1844;0,215517;0,269518;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,332149
22;22007;1;0;0;2;0;0;1;0;4;1;2;43035;43664;43605;44150;44674;45011;45289;45533;45747;45933;46511;0,0232;NA;NA;0,0453;NA;NA;0,02208;NA;0,087437;0,021771;0,043001;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,23237
50;50003;13;15;4;14;15;8;7;4;10;14;12;116039;117160;117215;118180;119147;122435;123553;124641;125714;126775;128094;0,1120;0,1280;0,034125;0,118463;0,125895;0,065341;0,056656;0,032092;0,079546;0,110432;0,093681;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,11231
51;51006;22;24;23;19;26;40;41;47;51;64;65;162055;168115;191179;198104;204751;216083;223705;231128;238340;245379;252848;0,1358;0,1428;0,120306;0,095909;0,126984;0,185114;0,183277;0,203351;0,21398;0,260821;0,257071;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,135756
16;16002;1;0;0;1;2;1;4;0;2;1;4;24438;25229;24223;25032;25619;27052;27711;28365;29010;29648;30877;0,0409;NA;NA;0,039949;0,078067;0,036966;0,144347;NA;0,068942;0,033729;0,129546;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;0,492
